n,planta,especie,tratamiento,dato,fruitset,seedset2
462,t32,ot,oc,1,1,39
463,t32,ot,or,1,1,61
464,t32,ot,os,1,1,60
465,t32,ot,cn,1,1,64
466,t37,ot,ag,1,1,
467,t37,ot,au,1,1,
468,t37,ot,en,1,1,
469,t37,ot,oc,1,1,10
470,t37,ot,or,1,1,15
471,t37,ot,os,1,1,45
472,t37,ot,cn,1,1,
473,t38,ot,ag,1,0,0
474,t38,ot,au,1,1,
475,t38,ot,en,1,1,
476,t38,ot,oc,1,1,6
477,t38,ot,or,1,1,30
478,t38,ot,os,1,1,
479,t38,ot,cn,1,1,50
480,t15-2,ot,ag,1,0,0
481,t15-2,ot,au,1,1,50
482,t15-2,ot,en,1,1,27
483,t15-2,ot,oc,1,1,20
484,t15-2,ot,or,1,1,40
485,t15-2,ot,os,1,1,40
486,t15-2,ot,cn,1,1,39
487,t41,ot,ag,1,0,0
488,t41,ot,au,1,1,
489,t41,ot,en,1,1,65
490,t41,ot,oc,1,1,40
491,t41,ot,or,1,1,7
492,t41,ot,os,1,1,
493,t41,ot,cn,1,1,70
494,t55,ot,ag,1,0,0
495,t55,ot,au,1,1,75
496,t55,ot,en,1,1,
497,t55,ot,oc,1,1,
498,t55,ot,or,1,1,35
499,t55,ot,os,1,1,40
500,t55,ot,cn,1,1,54
501,t56,ot,ag,1,0,0
502,t56,ot,au,1,1,59
503,t56,ot,en,1,1,55
504,t56,ot,oc,1,1,45
505,t56,ot,or,1,1,60
506,t56,ot,os,1,1,58
507,t56,ot,cn,1,1,74
508,t57,ot,ag,1,1,63
509,t57,ot,au,1,1,70
510,t57,ot,en,1,1,80
511,t57,ot,oc,1,1,57
512,t57,ot,or,1,1,52
513,t57,ot,os,1,1,40
514,t57,ot,cn,1,1,70
515,t58,ot,ag,1,0,0
516,t58,ot,au,1,1,66
517,t58,ot,en,1,1,
518,t58,ot,oc,1,1,1
519,t58,ot,or,1,1,7
520,t58,ot,os,1,1,50
521,t58,ot,cn,1,1,69
522,t59,ot,ag,1,1,5
523,t59,ot,au,1,1,58
524,t59,ot,en,1,1,61
525,t59,ot,oc,1,1,21
526,t59,ot,or,1,1,63
527,t59,ot,os,1,1,65
528,t59,ot,cn,1,1,63
529,t60,ot,ag,1,0,0
530,t60,ot,au,1,1,70
531,t60,ot,en,1,1,53
532,t60,ot,oc,1,1,
533,t60,ot,or,1,1,37
534,t60,ot,os,1,1,33
535,t60,ot,cn,1,1,36
536,s9,os,or,1,0,0
537,s9,os,ot,1,1,56
538,s19,os,oc,1,1,73
539,s19,os,or,1,1,80
540,s19,os,ot,1,1,76
541,s20,os,oc,1,0,0
542,s20,os,or,1,0,0
543,s20,os,ot,1,0,0
544,s22,os,en,1,1,20
545,s22,os,oc,1,1,33
546,s22,os,or,1,0,0
547,s22,os,ot,1,1,
548,s28,os,cn,1,1,40
549,s28,os,or,1,0,0
550,g35,os,oc,1,1,6
551,g35,os,or,1,1,6
552,g35,os,ot,1,1,41
553,g37,os,oc,1,1,61
554,g37,os,or,1,0,0
555,g37,os,ot,1,1,50
556,g44,os,oc,1,1,45
557,g44,os,or,1,1,14
558,g44,os,ot,1,1,56
559,g45,os,oc,1,1,46
560,g45,os,or,1,1,13
561,g45,os,ot,1,1,50
562,g46,os,oc,1,0,0
563,g46,os,or,1,0,0
564,g46,os,ot,1,0,0
565,g50,os,oc,1,0,0
566,g50,os,or,1,1,60
567,g50,os,ot,1,0,0
568,g87,os,oc,1,0,0
569,g87,os,or,1,0,0
570,g87,os,ot,1,1,29
571,g109,os,oc,1,0,0
572,g109,os,or,1,0,0
573,g109,os,ot,1,0,0
574,g122,os,en,1,1,
575,g122,os,oc,1,0,0
576,g122,os,or,1,1,100
577,g122,os,ot,1,1,60
578,g223,os,oc,1,0,0
579,g223,os,or,1,1,10
580,g223,os,ot,1,1,161
581,g225,os,oc,1,1,8
582,g225,os,or,1,0,0
583,g225,os,ot,1,1,54
584,g226,os,oc,1,0,0
585,g226,os,or,1,0,0
586,g226,os,ot,1,1,78
587,g234,os,oc,1,1,45
588,g234,os,or,1,0,0
589,g234,os,ot,1,1,54
590,g181,os,oc,1,0,0
591,g181,os,or,1,1,
592,g181,os,ot,1,0,0
593,g254,os,oc,1,1,122
594,g254,os,or,1,1,48
595,g254,os,ot,1,1,
596,g227,os,oc,1,0,0
597,g227,os,or,1,0,0
598,g227,os,ot,1,1,110
599,sin nombre,os,oc,1,1,23
600,sin nombre,os,or,1,1,19
601,sin nombre,os,ot,1,1,54
602,g282,os,oc,1,1,87
603,g282,os,or,1,1,4
604,g282,os,ot,1,0,0
605,g181,os,au,1,0,0
606,j69.1,oc,cn,1,0,0
607,g50,os,ag,1,0,0
608,g50,os,au,1,0,0
609,g50,os,en,1,1,
610,g50,os,cn,1,1,
611,g45,os,ag,1,0,0
612,g45,os,au,1,1,
613,g45,os,en,1,1,
614,g45,os,cn,1,1,
615,g37,os,ag,1,0,0
616,g37,os,au,1,1,44
617,g37,os,en,1,1,
618,g37,os,cn,1,1,
619,g46,os,ag,1,0,0
620,g46,os,au,1,1,34
621,g46,os,en,1,1,44
622,g46,os,cn,1,1,
623,g109,os,ag,1,0,0
624,g109,os,au,1,0,0
625,g109,os,en,1,1,
626,g109,os,cn,1,1,
627,g223,os,ag,1,0,0
628,g223,os,au,1,1,132
629,g223,os,en,1,1,13
630,g223,os,cn,1,1,82
631,g44,os,ag,1,0,0
632,g44,os,au,1,1,21
633,g44,os,en,1,1,17
634,g44,os,cn,1,1,63
635,g87,os,ag,1,0,0
636,g87,os,au,1,0,0
637,g87,os,en,1,0,0
638,g87,os,cn,1,1,45
639,sin nombre,os,ag,1,0,0
640,sin nombre,os,au,1,1,
641,sin nombre,os,en,1,1,79
642,sin nombre,os,cn,1,1,22
643,g35,os,ag,1,0,0
644,g35,os,au,1,0,0
645,g35,os,en,1,0,0
646,g35,os,cn,1,0,0
647,g225,os,ag,1,0,0
648,g225,os,au,1,0,0
649,g225,os,en,1,1,33
