numero,planta,trat,nfruto,semillas,peso,mg,especie
478,td36,os,49,2,0.025,25,ot
479,td36,os,49,3,0.0227,22.7,ot
480,td36,os,49,4,0.0207,20.7,ot
481,td36,os,49,5,0.0243,24.3,ot
482,td36,os,49,6,0.022,22,ot
483,td36,os,49,7,0.0211,21.1,ot
484,td36,os,49,8,0.0209,20.9,ot
485,td36,os,49,9,0.0248,24.8,ot
486,td36,os,49,10,0.0231,23.1,ot
487,sa,au,50,1,0.0192,19.2,os
488,sa,au,50,2,0.0212,21.2,os
489,sa,au,50,3,0.022,22,os
490,sa,au,50,4,0.023,23,os
491,sa,au,50,5,0.0198,19.8,os
492,sa,au,50,6,0.0214,21.4,os
493,sa,au,50,7,0.02,20,os
494,sa,au,50,8,0.02,20,os
495,sa,au,50,9,0.0211,21.1,os
496,sa,au,50,10,0.023,23,os
497,c32,cn,51,1,0.0069,6.9,oc
498,c32,cn,51,2,0.0076,7.6,oc
499,c32,cn,51,3,0.0057,5.7,oc
500,c32,cn,51,4,0.0069,6.9,oc
501,c32,cn,51,5,0.0078,7.8,oc
502,c32,cn,51,6,0.0076,7.6,oc
503,c32,cn,51,7,0.0065,6.5,oc
504,c32,cn,51,8,0.007,7,oc
505,c32,cn,51,9,0.0073,7.3,oc
506,c32,cn,51,10,0.0069,6.9,oc
507,td36,oc,52,1,0.0197,19.7,ot
508,td36,oc,52,2,0.0203,20.3,ot
509,td36,oc,52,3,0.0164,16.4,ot
510,td36,oc,52,4,0.0166,16.6,ot
511,td36,oc,52,5,0.0179,17.9,ot
512,td36,oc,52,6,0.0177,17.7,ot
513,td36,oc,52,7,0.0179,17.9,ot
514,td36,oc,52,8,0.0186,18.6,ot
515,td36,oc,52,9,0.0186,18.6,ot
516,td36,oc,52,10,0.0195,19.5,ot
517,t23,or,53,1,0.0183,18.3,ot
518,t23,or,53,2,0.0188,18.8,ot
519,t23,or,53,3,0.0175,17.5,ot
520,t23,or,53,4,0.0165,16.5,ot
521,t23,or,53,5,0.0165,16.5,ot
522,t23,or,53,6,0.0173,17.3,ot
523,t23,or,53,7,0.0185,18.5,ot
524,t23,or,53,8,0.0163,16.3,ot
525,t23,or,53,9,0.0175,17.5,ot
526,t23,or,53,10,0.0163,16.3,ot
527,c30,en,54,1,0.0081,8.1,oc
528,c30,en,54,2,0.0089,8.9,oc
529,c30,en,54,3,0.0103,10.3,oc
530,c30,en,54,4,0.0089,8.9,oc
531,c30,en,54,5,0.0087,8.7,oc
532,c30,en,54,6,0.0089,8.9,oc
533,c30,en,54,7,0.0082,8.2,oc
534,c30,en,54,8,0.0097,9.7,oc
535,c30,en,54,9,0.0086,8.6,oc
536,c30,en,54,10,0.0089,8.9,oc
537,c40,au,55,1,0.0066,6.6,oc
538,c40,au,55,2,0.0065,6.5,oc
539,c40,au,55,3,0.0068,6.8,oc
540,c40,au,55,4,0.0073,7.3,oc
541,c40,au,55,5,0.003,3,oc
542,c40,au,55,6,0.0069,6.9,oc
543,c40,au,55,7,0.0078,7.8,oc
544,c40,au,55,8,0.0072,7.2,oc
545,c40,au,55,9,0.0064,6.4,oc
546,c40,au,55,10,0.0089,8.9,oc
547,t-esq,cn,56,1,0.0194,19.4,ot
548,t-esq,cn,56,2,0.0192,19.2,ot
549,t-esq,cn,56,3,0.0181,18.1,ot
550,t-esq,cn,56,4,0.0178,17.8,ot
551,t-esq,cn,56,5,0.0168,16.8,ot
552,t-esq,cn,56,6,0.0172,17.2,ot
553,t-esq,cn,56,7,0.0168,16.8,ot
554,t-esq,cn,56,8,0.0184,18.4,ot
555,t-esq,cn,56,9,0.0185,18.5,ot
556,t-esq,cn,56,10,0.0169,16.9,ot
557,t-t16,cn,57,1,0.016,16,ot
558,t-t16,cn,57,2,0.0198,19.8,ot
559,t-t16,cn,57,3,0.015,15,ot
